Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:255): auid=1000 ses=1 subj=unconfined op=add_rule key=""passwd_changes"" list=4 res=1AUID=""alumno""",MEDIO,"Se añadió un registro para el usuario 'alumno', lo cual podría significar una actualización de contraseñas o configuración personalizadas y requiere supervisión.",7.45,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:255): arch=c000003e syscall=44 success=yes exit=1084 a0=3 a1=7ffd37190a40 a2=43c a3=0 items=0 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario 'alumno' como root accedió al comando auditctl, lo cual es altamente sensible y un riesgo para la seguridad ya que implica alteraciones de configura0.",8.23,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:255): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,BAJO,"Los logs muestran el cambio del proctitle, lo cual es un patrón común en la configuración de seguridad y no indica ninguna actividad maliciosa.",7.06,phi3:mini
"type=SYSCALL msg=audit(1779746681.792:261): arch=c000003e syscall=257 success=yes exit=3 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El usuario alumno intentó ejecutar sudo sin ser root, representando un alto riesgo para la seguridad de paswords y posible acceso no autorizado.",7.49,phi3:mini
"type=CWD msg=audit(1779746681.792:261): cwd=""/home/alumno""",BAJO,"El usuario alumno se movió entre directorios, lo cual es común para operaciones de archivos y no indica ningún riesgo por sí solo.",6.4,phi3:mini
"type=PATH msg=audit(1779746681.792:261): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",MEDIO,"La modificación de los permisos en el archivo /etc/passwd es un comportamiento normal, pero se debe continuar monitoreando para prevenir posibles accesos no autorizados.",7.36,phi3:mini
type=PROCTITLE msg=audit(1779746681.792:261): proctitle=7375646F00617564697463746C002D6C,INFO,La operación de registro es normal y no indica ninguna actividad sospechosa.,5.28,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:262): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El alumno intentó ejecutar sudo sin argumentos, lo que podría significar un posible abuso como prueba de acceso o para buscar vulnerabilidades.",7.88,phi3:mini
"type=CWD msg=audit(1779746681.796:262): cwd=""/home/alumno""",INFO,El cambio de directorio es una operación común que no presenta riesgo.,5.35,phi3:mini
"type=PATH msg=audit(1779746681.796:262): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,Es una operación de lectura normal del archivo /etc/passwd por el root usuario con permisos apropiados.,6.09,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:262): proctitle=7375646F00617564697463746C002D6C,INFO,"El registro muestra un cambio en el título del proceso, que puede ser una acción normal al iniciar sesión o cambiar de tarea.",6.14,phi3:mini
"type=SYSCALL msg=audit(1779746681.796:263): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"La ejecución de sudo como un usuario no perteneciente al grupo root puede ser sospechosa, especialmente si la sesión se inició sin contraseña y con intento fallido (exit=5) en /etc/sudoers.",8.89,phi3:mini
