Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"{""auid"": ""1000"", ""key"": ""passwd_changes"", ""type"": ""CONFIG_CHANGE""}",MEDIO,"El auditor log no ofrece evidencia clara de un intento malicioso, pero la alarma configuración para cambios en el archivo passwd sugiere que se realizaron acciones poten_smente modificatorias.",10.73,phi3:mini
"{""syscall"": ""44"", ""success"": ""yes"", ""exit"": ""1084"", ""auid"": ""1000"", ""uid"": ""0"", ""gid"": ""0"", ""euid"": ""0"", ""comm"": ""auditctl"", ""exe"": ""/usr/sbin/auditctl"", ""key"": ""(null)"", ""type"": ""SYSCALL""}",INFO,"Audit control ejecutado exitosamente por root, indicando la actividad autorizada y normal.",5.04,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""3"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""passwd_changes"", ""type"": ""SYSCALL""}",ALTO,"El uso de sudo para ejecutar comandos que modifican archivos clave como /etc/shadow indica una posible amenaza grave, a pesar del buen comportamiento en otros aspectos.",6.23,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/passwd"", ""type"": ""PATH""}",MEDIO,"Se detectó un acceso en la ruta PATH al archivo /etc/passwd, que es normal para mostrar el nombre de usuario del sistema. Sin embargo, dado que las auditorías son útiles para monitorear actividades inusuales, se debe prestar aten0n a cualquier anomalía adicional en los logs.",9.07,phi3:mini
"{""type"": ""PROCTITLE""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""syscall"": ""257"", ""success"": ""yes"", ""exit"": ""5"", ""auid"": ""1000"", ""uid"": ""1000"", ""gid"": ""1000"", ""euid"": ""0"", ""comm"": ""sudo"", ""exe"": ""/usr/bin/sudo"", ""key"": ""passwd_changes"", ""type"": ""SYSCALL""}",MEDIO,"El comando sudo ejecutado por el usuario root sugiere una actividad inusual como un cambio de contraseña, pero no indica directamente que esté ocurriendo mal.",6.37,phi3:mini
"{""type"": ""CWD""}",INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"{""name"": ""/etc/passwd"", ""type"": ""PATH""}",INFO,"El registro muestra el acceso al archivo /etc/passwd, que es normal para verificar la presencia de usuarios y grupos en un sistema; no indica actividad maliciosa.",6.51,phi3:mini
