Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:258): auid=1000 key=""shadow_access""",BAJO,"Lectura exitosa de archivos generales por un usuario, sin indicaciones de privilegios elevados ni actividades sospechosas.",10.13,phi3:mini
"type=SYSCALL msg=audit(1779746663.172:258): syscall=44 success=yes exit=1080 auid=1000 uid=0 gid=0 euid=0 comm=""auditctl"" exe=""/usr/sbin/auditctl"" key=(null)",INFO,Actividad de demonio del sistema auditd normal sin indicadores de seguridad.,5.08,phi3:mini
type=SOCKADDR msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
type=CWD msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746663.172:258): name=""/etc/""",INFO,Lectura de directorio general sin indicadores específicos de riesgo.,4.79,phi3:mini
type=PROCTITLE msg=audit(1779746663.172:258):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:266): syscall=257 success=yes exit=7 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""shadow_access""",MEDIO,"Uso de sudo para ejecutar comandos no elevados, posiblemente sin justificación adecuada.",5.52,phi3:mini
type=CWD msg=audit(1779746681.800:266):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779746681.800:266): name=""/etc/shadow""",ALTO,"Acceso denegado al archivo de credenciales críticas, indicativo de un intento de compromiso.",5.48,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:266):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779747406.360:303): syscall=257 success=yes exit=7 auid=1000 uid=1000 gid=1000 euid=0 comm=""sudo"" exe=""/usr/bin/sudo"" key=""shadow_access""",MEDIO,"Uso exitoso de sudo, pero sin mencion específica del comando ejecutado posteriormente.",5.52,phi3:mini
