Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=SYSCALL msg=audit(1779892548.360:698): syscall=59 success=yes exit=0 auid=4294967295 uid=0 gid=0 euid=0 comm=""xdelta3"" exe=""/snap/snapd/21759/usr/bin/xdelta3"" key=""root_commands""",INFO,"XDELTA3 se ejecutó con privilegios elevados, lo cual es normal para operaciones que requieren cambiar archivos sin afectar el sistema y no representa riesgo.",6.26,phi3:mini
type=EXECVE msg=audit(1779892548.360:698):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
type=CWD msg=audit(1779892548.360:698):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779892548.360:698): name=""/snap/snapd/current/usr/bin/xdelta3""",MEDIO,"Se detectó un acceso no autorizado al comando xdelta3, que puede ser de preocupación para la seguridad dado su capacidad para realizar copias o comparaciones sin permiso.",6.09,phi3:mini
"type=PATH msg=audit(1779892548.360:698): name=""/lib64/ld-linux-x86-64.so.2""",INFO,"El registro muestra el intento de carga del archivo que es parte necesario para la operación normal en sistemas Linux, no hay señales anormales.",5.68,phi3:mini
type=PROCTITLE msg=audit(1779892548.360:698):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779892626.852:699): syscall=257 success=yes exit=3 auid=1000 uid=1000 gid=1000 euid=1000 comm=""nano"" exe=""/usr/bin/nano"" key=""passwd_changes""",INFO,"El usuario alteró correctamente el archivo passwd con nano, sin sospecha de malas intenciones.",4.93,phi3:mini
type=CWD msg=audit(1779892626.852:699):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779892626.852:699): name=""/etc/passwd""",INFO,"Lectura de /etc/passwd es una acción normal para ver el contenido del archivo, no representa un riesgo.",4.99,phi3:mini
type=PROCTITLE msg=audit(1779892626.852:699):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=SYSCALL msg=audit(1779892646.164:700): syscall=257 success=yes exit=3 auid=1000 uid=1000 gid=1000 euid=1000 comm=""nano"" exe=""/usr/bin/nano"" key=""passwd_changes""",INFO,"El usuario modificó el archivo pasw.d con nano, lo cual es una acción administrativa normal.",4.87,phi3:mini
type=CWD msg=audit(1779892646.164:700):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
"type=PATH msg=audit(1779892646.164:700): name=""/etc/passwd""",INFO,"Se registró una entrada normal en el log de audit para acceder a /etc/passwd, común y necesario para la gestión del sistema.",5.26,phi3:mini
type=PROCTITLE msg=audit(1779892646.164:700):,INFO,Omitido del análisis LLM por falta de campos relevantes.,0.0,phi3:mini
