Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CONFIG_CHANGE msg=audit(1779746663.172:258): auid=1000 ses=1 subj=unconfined op=add_rule key=""shadow_access"" list=4 res=1AUID=""alumno""",INFO,"Se agregó un nuevo restringido de acceso al sistema ('shadow_access'), lo cual es una acción válida en el contexto de la configuración del sistema.",20.06,llama3.2:3b
"type=SYSCALL msg=audit(1779746663.172:258): arch=c000003e syscall=44 success=yes exit=1080 a0=3 a1=7ffd37190a40 a2=438 a3=0 items=1 ppid=1225 pid=1239 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""auditctl"" exe=""/usr/sbin/auditctl"" subj=unconfined key=(null)ARCH=x86_64 SYSCALL=sendto AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,El uso de auditctl para enviar notificaciones a un usuario no autorizado (AUID=,4.46,llama3.2:3b
type=SOCKADDR msg=audit(1779746663.172:258): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 },BAJO,"La dirección IP recibida es una dirección de redLink, lo que sugiere un intento de comunicación con un servicio de redLink, pero no indica un riesgo específico.",5.04,llama3.2:3b
"type=CWD msg=audit(1779746663.172:258): cwd=""/home/alumno""",INFO,"El usuario cambió el directorio de trabajo (/home/alumno), lo cual es una acción normal y predecible.",4.44,llama3.2:3b
"type=PATH msg=audit(1779746663.172:258): item=0 name=""/etc/"" inode=1048577 dev=08:02 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",BAJO,"El acceso al directorio /etc/ es normal para un sistema operativo, pero es importante monitorear cualquier cambio en el acceso a este directorio.",4.86,llama3.2:3b
type=PROCTITLE msg=audit(1779746663.172:258): proctitle=2F7362696E2F617564697463746C002D52002F6574632F61756469742F61756469742E72756C6573,ALTO,"El comando cat se ejecutó en un entorno de seguridad crítico, como /etc/shadow, y intentó leer el archivo sin permisos, lo que indica un intento potencial de robo de credenciales.",5.58,llama3.2:3b
"type=SYSCALL msg=audit(1779746681.800:266): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f30408222c4 a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"Intento de ejecución de comandos con permisos elevados (sudo) para acceder a archivos críticos, lo cual puede tener consecuencias graves en la seguridad de los datos.",5.55,llama3.2:3b
"type=CWD msg=audit(1779746681.800:266): cwd=""/home/alumno""",INFO,"El usuario ejecutó un comando en su directorio personal, lo cual es común y no indica actividad sospechosa.",4.51,llama3.2:3b
"type=PATH msg=audit(1779746681.800:266): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"El archivo /etc/shadow es un archivo de configuración y no contiene información sensible, por lo que el intento de acceso fallido por un usuario con privilegios puede ser considerado como una acción normal en un entorno de prueba o administrativo.",5.82,llama3.2:3b
type=PROCTITLE msg=audit(1779746681.800:266): proctitle=7375646F00617564697463746C002D6C,BAJO,"El log indica un cambio de título del proceso, lo cual es normal en tareas de administración, pero requiere monitoreo para asegurarse de que no se estén utilizando técnicas de engaño.",5.36,llama3.2:3b
"type=SYSCALL msg=audit(1779747406.360:303): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7fbab0a582c4 a2=80000 a3=0 items=1 ppid=952 pid=1276 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",INFO,"El usuario ejecutó sudo, lo cual es normal en tareas administrativas y requiere monitoreo, pero es un sistema que permite una amplia gama de acciones.",5.31,llama3.2:3b
"type=CWD msg=audit(1779747406.360:303): cwd=""/home/alumno""",BAJO,"El usuario ha iniciado sesión desde una carpeta personal (/home/alumno), lo cual es normal, pero requiere monitoreo para asegurar que no se estén ejecutando comandos con fines maliciosos.",5.52,llama3.2:3b
"type=PATH msg=audit(1779747406.360:303): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"El archivo /etc/shadow fue modificado por el usuario root, lo cual es normal en un sistema Linux.",4.42,llama3.2:3b
type=PROCTITLE msg=audit(1779747406.360:303): proctitle=7375646F006175736561726368002D6B007061737377645F6368616E676573002D2D726177,BAJO,"La entrada relaciona un cambio en el título del proceso, lo cual es una acción normal en el funcionamiento de Linux.",4.43,llama3.2:3b
"type=SYSCALL msg=audit(1779747421.900:318): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7ff6452c52c4 a2=80000 a3=0 items=1 ppid=640 pid=1281 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""cron"" exe=""/usr/sbin/cron"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El proceso cron ejecutó la syscall openat con éxito, lo cual es normal y no representa un riesgo.",4.69,llama3.2:3b
"type=CWD msg=audit(1779747421.900:318): cwd=""/var/spool/cron""",BAJO,"El uso de la ruta /var/spool/cron puede indicar un cambio en el patrón de ejecución de tareas crónicas, pero no es un evento inusual o sospechoso por sí solo.",5.54,llama3.2:3b
"type=PATH msg=audit(1779747421.900:318): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",ALTO,"Intento de lectura de un archivo crítico (/etc/shadow) por parte del proceso, posible intento de robo de credenciales.",4.9,llama3.2:3b
type=PROCTITLE msg=audit(1779747421.900:318): proctitle=2F7573722F7362696E2F43524F4E002D66002D50,INFO,El uso de caracteres especiales en el título del proceso no es inusual y puede ser parte de una rutina de sistema normal.,4.48,llama3.2:3b
"type=SYSCALL msg=audit(1779747428.856:337): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f4d31f4b2c4 a2=80000 a3=0 items=1 ppid=952 pid=1284 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El comando sudo fue utilizado con permisos de root, lo que puede indicar una falta de control sobre los privilegios del sistema.",4.97,llama3.2:3b
"type=CWD msg=audit(1779747428.856:337): cwd=""/home/alumno""",INFO,"Cambio de directorio, normal en el uso diario del sistema",3.91,llama3.2:3b
"type=PATH msg=audit(1779747428.856:337): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",ALTO,"Acceso a un archivo crítico (/etc/shadow) por parte de un usuario no autorizado (OUID='root', OGID='shadow'), posible intento de robo de credenciales.",5.4,llama3.2:3b
type=PROCTITLE msg=audit(1779747428.856:337): proctitle=7375646F006175736561726368002D6B007061737377645F6368616E676573002D2D666F726D6174006A736F6E,BAJO,"El log muestra un cambio de título del proceso, lo cual es común y normal en sistemas Linux.",4.32,llama3.2:3b
"type=SYSCALL msg=audit(1779747500.148:356): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f8331ba72c4 a2=80000 a3=0 items=1 ppid=952 pid=1287 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El comando 'sudo' fue utilizado por un usuario no administrativo ('alumno') para ejecutar una acción con permisos root, lo que puede comprometer la seguridad del sistema.",5.39,llama3.2:3b
"type=CWD msg=audit(1779747500.148:356): cwd=""/home/alumno""",BAJO,"El usuario cambió de directorio (/home/alumno), lo cual es normal, pero requiere monitoreo para evitar accesos no autorizados.",4.78,llama3.2:3b
"type=PATH msg=audit(1779747500.148:356): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,El cambio de permisos en /etc/shadow es normal y se debe a la actualización del sistema.,4.38,llama3.2:3b
type=PROCTITLE msg=audit(1779747500.148:356): proctitle=7375646F006175736561726368002D6B007061737377645F6368616E676573002D2D6A736F6E,ALTO,"El comando cat se ejecutó en un contexto de seguridad alto, ya que intenta leer el archivo /etc/shadow, lo cual es sensible y requiere permisos especiales.",5.07,llama3.2:3b
"type=SYSCALL msg=audit(1779748055.680:380): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f1bd78942c4 a2=80000 a3=0 items=1 ppid=676 pid=1310 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""sshd"" exe=""/usr/sbin/sshd"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El servidor sshd intentó acceder a un archivo (/etc/shadow) con permisos de root, lo cual es normal en tareas administrativas y no indica un riesgo inmediato.",5.52,llama3.2:3b
"type=CWD msg=audit(1779748055.680:380): cwd=""/""",INFO,"El cambio de directorio a '/' es una acción común en el sistema de usuario, no requiere monitoreo adicional.",4.61,llama3.2:3b
"type=PATH msg=audit(1779748055.680:380): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",INFO,"El archivo /etc/shadow tiene permisos de acceso estrictos, lo que indica una configuración segura.",4.48,llama3.2:3b
type=PROCTITLE msg=audit(1779748055.680:380): proctitle=2F7573722F7362696E2F73736864002D44002D52,INFO,"El log muestra un cambio en el título del proceso, lo cual es normal durante la creación o eliminación de ejecutables.",4.49,llama3.2:3b
"type=SYSCALL msg=audit(1779748055.688:384): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f1bd78942c4 a2=80000 a3=0 items=1 ppid=676 pid=1310 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""sshd"" exe=""/usr/sbin/sshd"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El proceso sshd como root ejecuta el comando openat con permisos de superusuario, lo cual es normal en tareas administrativas.",5.01,llama3.2:3b
"type=CWD msg=audit(1779748055.688:384): cwd=""/""",INFO,"El comando CWD indica que el usuario ha cambiado al directorio raíz, lo cual es un evento normal y esperado en el sistema.",4.76,llama3.2:3b
"type=PATH msg=audit(1779748055.688:384): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",ALTO,"Intento de acceso no autorizado a un archivo crítico (/etc/shadow) por la administración, con OUID y OGID incorrectos.",4.89,llama3.2:3b
type=PROCTITLE msg=audit(1779748055.688:384): proctitle=2F7573722F7362696E2F73736864002D44002D52,INFO,"La logitud de la cadena en el texto de audit es normal, pero requiere ser investigada para determinar su contenido y posible impacto.",4.62,llama3.2:3b
"type=SYSCALL msg=audit(1779748055.696:394): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f1bd78942c4 a2=80000 a3=0 items=1 ppid=676 pid=1310 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4 comm=""sshd"" exe=""/usr/sbin/sshd"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El proceso sshd tiene un contexto de ejecucion no confinado, pero sigue siendo ejecutado por el usuario root con privilegios completos.",5.07,llama3.2:3b
"type=CWD msg=audit(1779748055.696:394): cwd=""/""",BAJO,"El usuario está trabajando en el directorio raíz del sistema, lo cual es común y no representa un riesgo en sí mismo.",4.71,llama3.2:3b
"type=PATH msg=audit(1779748055.696:394): item=0 name=""/etc/shadow"" inode=1049465 dev=08:02 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""shadow""",ALTO,"Acceso a un archivo crítico (/etc/shadow) con permisos inadecuados (rdev=00:00), posible intento de alteración o acceso no autorizado.",5.31,llama3.2:3b
type=PROCTITLE msg=audit(1779748055.696:394): proctitle=2F7573722F7362696E2F73736864002D44002D52,ALTO,La modification de la etiqueta de título del proceso (proctitle) puede indicar una ejecución no autorizada o un ataque de inyección de código en el sistema.,5.05,llama3.2:3b
"type=SYSCALL msg=audit(1779748076.428:480): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f2d07f682c4 a2=80000 a3=0 items=1 ppid=1371 pid=1381 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=4 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""shadow_access""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El comando sudo fue ejecutado con un usuario no administrativo (auid=alumno) intentando acceder a la clave de shadow, lo cual es inusual y requiere inmediata atención.",5.66,llama3.2:3b
